Start_Hour,End_Hour,Source,Day_of_Year,Day_Name,Month_Name,Season
2,3,Wind,355,Wednesday,December,Winter
22,23,Wind,355,Wednesday,December,Winter
2,3,Wind,356,Thursday,December,Winter
7,8,Wind,356,Thursday,December,Winter
21,22,Wind,356,Thursday,December,Winter
9,10,Wind,356,Thursday,December,Winter
22,23,Wind,356,Thursday,December,Winter
17,18,Wind,356,Thursday,December,Winter
1,2,Wind,356,Thursday,December,Winter
0,1,Wind,356,Thursday,December,Winter
3,4,Wind,356,Thursday,December,Winter
4,5,Wind,356,Thursday,December,Winter
20,21,Wind,356,Thursday,December,Winter
23,0,Wind,356,Thursday,December,Winter
16,17,Wind,356,Thursday,December,Winter
15,16,Wind,356,Thursday,December,Winter
5,6,Wind,356,Thursday,December,Winter
14,15,Wind,356,Thursday,December,Winter
18,19,Wind,356,Thursday,December,Winter
8,9,Wind,356,Thursday,December,Winter
13,14,Wind,356,Thursday,December,Winter
6,7,Wind,356,Thursday,December,Winter
10,11,Wind,356,Thursday,December,Winter
19,20,Wind,356,Thursday,December,Winter
11,12,Wind,356,Thursday,December,Winter
12,13,Wind,356,Thursday,December,Winter
1,2,Wind,357,Friday,December,Winter
5,6,Wind,357,Friday,December,Winter
12,13,Wind,357,Friday,December,Winter
14,15,Wind,357,Friday,December,Winter
16,17,Wind,357,Friday,December,Winter
19,20,Wind,357,Friday,December,Winter
13,14,Wind,357,Friday,December,Winter
18,19,Wind,357,Friday,December,Winter
21,22,Wind,357,Friday,December,Winter
10,11,Wind,357,Friday,December,Winter
15,16,Wind,357,Friday,December,Winter
8,9,Wind,357,Friday,December,Winter
3,4,Wind,357,Friday,December,Winter
2,3,Wind,357,Friday,December,Winter
17,18,Wind,357,Friday,December,Winter
9,10,Wind,357,Friday,December,Winter
23,0,Wind,357,Friday,December,Winter
20,21,Wind,357,Friday,December,Winter
4,5,Wind,357,Friday,December,Winter
11,12,Wind,357,Friday,December,Winter
6,7,Wind,357,Friday,December,Winter
7,8,Wind,357,Friday,December,Winter
0,1,Wind,357,Friday,December,Winter
22,23,Wind,357,Friday,December,Winter
10,11,Wind,358,Saturday,December,Winter
12,13,Wind,358,Saturday,December,Winter
16,17,Wind,358,Saturday,December,Winter
