Date,Day_Name,Day_of_Year,End_Hour,Month_Name,Production,Season,Source,Start_Hour
1/5/2020,Sunday,5,18,January,1189,Winter,Wind,17
1/5/2020,Sunday,5,22,January,1944,Winter,Wind,21
1/5/2020,Sunday,5,17,January,1419,Winter,Wind,16
1/5/2020,Sunday,5,7,January,1581,Winter,Wind,6
1/5/2020,Sunday,5,2,January,1682,Winter,Wind,1
1/5/2020,Sunday,5,21,January,1866,Winter,Wind,20
1/5/2020,Sunday,5,10,January,2245,Winter,Wind,9
1/5/2020,Sunday,5,11,January,2971,Winter,Wind,10
1/5/2020,Sunday,5,23,January,2038,Winter,Wind,22
1/5/2020,Sunday,5,12,January,3282,Winter,Solar,11
1/5/2020,Sunday,5,15,January,2952,Winter,Solar,14
1/5/2020,Sunday,5,19,January,1560,Winter,Wind,18
1/5/2020,Sunday,5,20,January,1767,Winter,Wind,19
1/5/2020,Sunday,5,14,January,3227,Winter,Solar,13
1/5/2020,Sunday,5,8,January,1626,Winter,Wind,7
1/5/2020,Sunday,5,4,January,1679,Winter,Wind,3
1/5/2020,Sunday,5,13,January,3338,Winter,Solar,12
1/5/2020,Sunday,5,0,January,2129,Winter,Wind,23
1/5/2020,Sunday,5,1,January,1736,Winter,Wind,0
1/6/2020,Monday,6,4,January,2379,Winter,Wind,3
1/6/2020,Monday,6,0,January,5850,Winter,Wind,23
1/6/2020,Monday,6,7,January,3152,Winter,Wind,6
1/6/2020,Monday,6,3,January,2422,Winter,Wind,2
1/6/2020,Monday,6,1,January,2280,Winter,Wind,0
1/6/2020,Monday,6,13,January,5508,Winter,Wind,12
1/6/2020,Monday,6,14,January,5322,Winter,Wind,13
1/6/2020,Monday,6,17,January,4328,Winter,Wind,16
1/6/2020,Monday,6,12,January,5665,Winter,Wind,11
1/6/2020,Monday,6,16,January,4357,Winter,Wind,15
1/6/2020,Monday,6,19,January,5455,Winter,Wind,18
1/6/2020,Monday,6,20,January,5736,Winter,Wind,19
1/6/2020,Monday,6,11,January,5760,Winter,Wind,10
1/6/2020,Monday,6,2,January,2400,Winter,Wind,1
1/6/2020,Monday,6,8,January,3648,Winter,Wind,7
1/6/2020,Monday,6,6,January,2736,Winter,Wind,5
1/6/2020,Monday,6,10,January,5416,Winter,Wind,9
1/6/2020,Monday,6,5,January,2433,Winter,Wind,4
1/6/2020,Monday,6,18,January,5081,Winter,Wind,17
1/6/2020,Monday,6,9,January,4372,Winter,Wind,8
1/6/2020,Monday,6,21,January,6469,Winter,Wind,20
1/6/2020,Monday,6,22,January,6604,Winter,Wind,21
1/6/2020,Monday,6,15,January,5009,Winter,Wind,14
1/6/2020,Monday,6,23,January,6114,Winter,Wind,22
1/7/2020,Tuesday,7,4,January,3967,Winter,Wind,3
1/7/2020,Tuesday,7,22,January,5517,Winter,Wind,21
1/7/2020,Tuesday,7,21,January,5559,Winter,Wind,20
1/7/2020,Tuesday,7,14,January,4300,Winter,Wind,13
1/7/2020,Tuesday,7,20,January,5541,Winter,Wind,19
1/7/2020,Tuesday,7,18,January,4567,Winter,Wind,17
1/7/2020,Tuesday,7,15,January,4216,Winter,Wind,14
1/7/2020,Tuesday,7,11,January,3435,Winter,Wind,10
1/7/2020,Tuesday,7,2,January,5162,Winter,Wind,1
1/7/2020,Tuesday,7,3,January,4456,Winter,Wind,2
1/7/2020,Tuesday,7,7,January,3156,Winter,Wind,6
